SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
0,64,0,1715,0,0,,0
0,27,0,0.149328,0,0,3200,0
0,68,0,123,0,0,,0
1,50,98,0,98,98,1350,0
0,63,0,0.445764,0,0,1852,0
0,74,0,0.478595,0,0,7147,0
0,42,0,0.423238,0,0,7900,1
0,49,0,0.25068,0,0,6250,0
0,21,98,0,98,98,,
1,24,0,0.048207,0,0,1700,0
1,44,0,0.790549,0,0,4549,1
1,49,2,0.305137,1,1,7163,3
1,48,5,0.158286,0,1,6999,3
0,69,0,0.010181,0,0,11000,1
0,32,0,0.10189,0,0,10000,0
0,44,1,0.149424,0,0,7200,3
0,38,1,0.243279,0,0,4500,3
1,27,0,0,0,0,2400,1
0,66,0,911,0,0,,0
0,69,0,0.024198,0,0,1900,0
0,75,0,659,0,0,,0
0,61,0,0.440384,0,0,4377,0
0,55,1,0.509176,0,0,2560,0
0,49,1,0.002399,0,0,2500,0
0,25,0,0.123251,0,0,1500,0
1,34,4,2684,0,0,,0
0,53,0,0.360451,0,0,4166,0
0,26,98,0,98,98,2000,0
0,77,0,0.001824,0,0,10416,0
1,66,0,4562,0,0,,0
0,33,0,0.308527,0,0,7000,1
1,60,1,0.238381,0,0,12500,0
0,34,0,0.000225,0,0,8888,1
1,49,1,0.473607,0,1,6800,2
0,41,0,306.5,0,0,1,4
0,55,0,0.563525,0,0,7374,1
0,61,0,0.35037,0,0,23400,1
0,82,0,0.376161,0,0,3120,0
1,26,1,0.354411,1,5,4000,0
1,57,1,2222,1,0,,0
0,54,0,0.182733,0,0,7250,1
0,87,0,0.52861,0,0,1100,0
0,27,0,0.291491,0,0,4500,1
0,56,0,0.224964,0,0,6200,1
0,50,1,0.316222,0,0,8999,2
0,36,0,0.006663,0,0,1800,1
0,31,1,0.106322,0,0,15800,1
0,54,0,0.839161,0,0,1000,0
1,66,0,0.001196,0,1,9200,0
0,62,1,0.550064,0,0,7000,0
1,39,4,453,4,0,,0
0,34,0,3.391073,0,0,1500,0
1,55,1,2776,0,0,,0
0,32,0,0.95314,0,0,3200,1
0,48,2,514,0,0,,1
0,57,0,0.14397,0,0,11036,0
0,34,0,0.127145,0,0,6000,3
0,60,1,0.469081,1,1,4915,1
0,23,0,2,0,0,,
0,29,1,0.221656,0,0,3333,0
0,70,0,1470,0,0,1,1
0,50,1,0.357898,0,0,3785,1
1,42,1,0.716269,7,0,1800,0
0,35,0,0.309972,0,0,11000,1
1,47,2,0.13566,4,0,5100,2
0,53,0,0.661533,0,0,2726,3
1,50,6,0.772234,3,2,10962,4
0,29,0,0.171254,0,0,4250,0
1,54,0,0.012332,0,1,2756,0
1,35,1,1.533713,0,0,2105,2
0,43,0,0.102297,0,0,4134,4
0,66,0,2180,0,0,,
1,71,0,0.785251,0,0,7701,1
0,58,0,0.485874,0,0,8600,0
0,41,0,2006,0,0,,
0,54,0,0.044866,0,0,45000,0
1,33,1,0.242217,1,0,3500,0
0,42,0,0.065848,0,0,7000,0
0,35,0,0.160199,0,0,3813,3
0,63,0,0.063249,0,0,5343,0
1,60,0,0.275266,3,0,2255,0
0,51,0,0.363818,0,0,2000,0
1,36,2,0.277455,3,1,3960,2
0,55,0,0.32607,0,0,3900,0
1,27,0,0.153156,0,0,3120,0
0,71,0,0.213993,0,0,5116,0
1,43,2,0.634815,0,0,5870,4
0,63,0,0.290697,0,0,12500,0
1,45,4,1.929208,1,1,2019,0
0,40,0,510,0,0,,0
1,49,1,0.594605,1,0,5300,3
0,38,0,0.274496,0,0,5500,0
0,41,0,0.024673,0,0,2066,0
1,57,0,0.971566,0,0,5415,0
0,60,0,655,0,0,,0
0,63,0,0.832056,0,0,3000,0
0,42,0,77,0,0,,0
0,75,0,20,0,0,,0
0,42,0,0.777623,0,0,5040,2
0,34,1,0.40294,1,1,4625,0
0,55,1,0.339282,0,0,13000,2
1,49,4,0.386367,0,0,7862,2
0,76,0,0.013994,0,0,2500,0
1,40,0,0.30966,0,0,45000,1
0,56,1,0.054732,0,0,8166,0
0,76,0,0.439122,0,0,500,0
1,38,0,0,0,0,1000,1
0,68,1,0.289893,0,0,7350,0
0,62,0,0.35081,0,0,7838,0
0,53,0,0.71991,0,0,5333,1
0,42,0,0.797626,0,0,1600,0
0,53,0,4177,0,0,,
0,57,0,0.157574,0,0,4600,1
0,27,0,12.5,0,0,7,0
0,33,0,0.063587,0,0,5000,0
0,57,0,0.59336,0,0,2800,0
1,61,2,0.354113,3,0,6175,0
0,59,0,0.903209,1,0,1900,0
0,51,0,0.929395,0,0,4333,2
1,33,0,0.237012,0,0,4176,0
1,42,2,0.603777,0,0,5400,2
0,46,0,0.330977,0,0,9900,2
1,60,1,2.646128,1,2,1200,2
0,32,0,0.104661,0,0,4633,1
0,47,2,0.728263,0,0,4772,2
1,37,0,0.215627,0,0,22000,2
0,69,0,0.148885,0,0,10000,0
1,40,1,0.31095,0,0,4958,1
0,39,0,6003,0,0,,0
1,51,2,1.068515,0,1,3750,0
1,38,0,0.975806,0,0,2975,0
1,43,0,0.969556,0,0,4072,0
1,26,0,1.92392,0,0,1550,0
0,32,0,0.229787,0,0,2584,4
0,64,0,0.207159,0,0,5000,0
0,64,0,0.307615,0,0,6000,3
1,43,0,0.417264,0,0,6000,0
1,55,1,0.563908,0,0,3950,0
1,60,0,0.417733,0,0,8830,0
0,47,0,3221,0,0,,0
0,38,0,0.186241,0,0,6700,0
1,38,1,0.023324,0,0,2400,2
1,63,1,4206,0,1,,0
0,32,0,0.600966,2,1,6006,1
0,29,0,0.164292,0,0,3438,1
1,35,2,0.793259,1,2,2877,0
0,46,0,0.278322,0,0,9700,1
1,28,2,0.270332,1,0,2200,0
0,78,0,2,0,0,,0
0,76,0,3548,0,0,,0
0,66,0,64,0,0,,0
0,51,1,0.496417,0,0,6000,3
1,45,0,0.138312,0,0,8046,2
0,54,0,0.409892,0,0,3800,2
0,72,0,0.387594,0,0,2401,0
0,53,1,3381,0,0,,0
0,74,0,0.208185,0,0,5326,1
1,35,1,0.426429,0,0,6666,2
1,23,98,0,98,98,,0
0,53,1,0.879524,0,0,4365,2
0,33,0,0.345219,0,0,6954,2
1,60,1,0.104137,1,0,4253,0
1,54,0,0.402727,0,0,4620,2
0,52,0,0.396259,0,1,5720,0
0,57,0,0.123084,0,0,13632,0
0,73,0,536,0,0,0,1
0,57,0,2543,0,0,,1
0,27,0,0.078051,0,0,4432,0
1,33,0,0.26994,0,0,4500,3
1,32,6,0.919081,0,1,1000,0
0,76,0,0.009198,0,0,5435,0
0,59,0,0.17921,0,0,5088,0
0,54,0,0.783522,0,0,5473,3
0,27,0,0.052393,0,0,7500,0
1,25,1,0.270758,0,2,3600,1
0,54,0,0.243839,0,0,9616,1
1,42,1,0.083564,1,0,3254,4
1,44,1,0.356858,0,0,750,0
0,44,0,0.837454,0,0,4933,0
0,26,0,0.132747,0,0,2500,0
1,41,0,0.233278,3,1,4200,2
0,59,0,0.505888,0,0,4500,1
1,53,0,1513,0,0,,1
0,40,0,973,0,0,,2
1,44,0,0.350548,0,0,3833,0
1,30,0,0.15367,2,1,3500,0
0,30,0,0.253045,0,0,5417,2
1,31,1,0.275977,0,2,3300,2
1,59,2,0.000769,1,0,2600,0
1,50,0,990,1,1,,0
1,61,3,0.656664,0,2,4831,0
0,47,0,0.689211,0,0,3104,0
0,76,0,0.00312,0,0,4166,0
1,38,0,0.284777,1,0,7166,0
0,51,0,0.258196,0,0,7350,2
1,49,0,0.649902,0,0,21533,0
0,28,0,0.121581,0,0,6250,0
0,39,0,0.26534,0,0,5377,1
1,59,0,0.400037,0,0,5416,0
0,58,0,1559,0,0,,0
1,31,3,0.735934,4,0,2665,0
0,51,0,0.136402,0,0,10600,2
0,60,0,7868,0,0,,0
1,59,0,0.453567,1,0,5200,0
1,45,1,0.423548,2,2,5800,0
1,59,1,0.223787,1,1,5893,1
0,50,0,0.418763,0,0,2941,0
0,59,0,0,0,0,5416,0
1,42,0,0.145175,0,0,2279,3
0,42,0,0.65455,0,0,4208,0
0,78,1,3775,1,0,,
0,49,0,0.147971,0,0,3770,0
1,50,0,0.795703,0,0,10890,0
0,67,0,1525,0,0,,0
0,62,0,0.54527,0,0,12833,0
0,64,0,0.35113,0,0,5000,0
0,25,0,0,0,0,850,0
0,42,0,0.416226,0,0,7000,1
1,56,1,0.87953,0,1,4166,2
0,43,0,2.153559,0,0,3750,2
0,55,0,0.246135,0,0,9766,1
0,41,0,0.17496,0,0,10750,3
0,55,0,0.45211,0,0,5000,0
0,67,2,0.759262,0,0,7800,2
0,55,0,1.023302,0,0,4505,0
0,75,1,0.505867,0,0,2300,0
1,62,1,0.056441,2,1,3135,0
0,32,0,0.412867,1,1,1600,4
0,78,0,0.014397,0,0,5000,0
0,57,0,0.491146,0,0,8583,0
0,82,0,2,0,0,,
1,57,2,0.509574,1,1,4595,1
0,47,1,650,0,0,,0
1,49,1,0.071451,4,1,3162,0
0,67,0,2715,0,0,,0
0,38,0,0.55427,0,0,7259,1
0,55,0,0.701323,0,0,5443,0
0,31,0,0.588401,0,0,8500,0
0,27,2,0.070807,0,0,4250,1
0,82,0,0,0,0,,
0,37,0,0.374126,0,0,4861,2
0,51,0,0.356153,0,0,7361,2
1,60,6,0.682264,0,0,5000,0
1,54,2,1.196498,0,0,7480,2
0,45,0,1815,0,0,,0
0,21,0,0,0,0,1,0
0,49,0,0.133397,0,1,8335,1
0,43,0,0.230635,0,0,13800,2
1,40,0,2.688124,0,0,900,3
0,64,0,0.137954,0,0,3000,0
0,57,0,0.299089,0,0,6034,1
0,42,0,0.683063,0,0,5000,2
1,41,6,0.506275,0,0,7250,3
0,56,0,0.006817,0,0,2786,0
0,64,0,99,0,0,,0
0,50,0,0.297461,0,0,10750,2
0,54,0,1343,0,0,,0
1,23,0,111,2,1,,0
1,58,0,0.410528,0,0,6800,0
0,33,0,0.030296,0,0,8515,0
0,42,0,5671,0,0,,0
0,55,0,0.374363,0,0,10000,1
1,67,1,1.523252,0,0,3160,0
0,38,1,0.362213,1,1,3000,0
1,47,0,0.313666,2,1,3270,2
0,51,0,0.33449,0,0,6914,2
1,35,2,0.364641,0,0,3800,0
1,61,0,1.732326,0,0,2050,0
1,62,0,0.153019,0,0,7900,0
1,59,0,1.168944,0,0,3000,1
1,37,0,0.268284,0,0,8900,3
1,42,1,1.131103,0,0,2600,2
1,42,0,0.393144,1,0,7350,1
0,49,0,0.413862,0,0,12450,2
1,42,0,0.714066,0,0,1300,2
1,50,3,0.191404,0,0,2000,3
1,36,2,0.394921,0,1,5000,2
1,32,2,0.638593,0,0,3383,1
0,60,0,0.198522,2,0,10416,2
0,66,0,185,0,0,,0
0,73,0,0.006498,0,0,4000,0
0,60,0,0.267183,0,0,18200,0
1,31,0,0.145906,0,0,2857,0
1,49,1,0.253484,0,0,5380,2
0,61,0,0.0025,0,0,10000,1
1,58,0,0.414729,0,0,6666,0
0,49,2,0.026403,0,0,3900,0
0,78,0,0.262785,0,0,4516,0
0,41,0,0.321686,0,0,9300,0
1,26,0,0.1204,0,0,2200,0
1,60,0,0.148305,0,0,5427,1
1,63,1,0.106072,2,0,5467,0
1,47,0,0.221206,2,0,5573,2
1,42,2,0.581884,0,0,5000,0
0,37,0,0.513795,0,0,9314,0
0,54,0,0.260895,0,0,12000,2
0,59,0,0.423551,0,1,3243,0
0,74,0,0.279016,0,0,1300,0
0,88,1,664,0,0,,0
0,31,0,0.309669,0,0,10000,0
0,53,0,0.572932,1,0,5984,1
1,35,2,2323,3,1,,0
1,54,0,0.375436,0,0,4583,1
0,48,0,0.446548,0,0,3750,0
0,69,0,0.008855,0,0,3500,0
0,25,0,291,0,0,,
1,55,0,0.151988,1,0,13000,1
0,50,0,0.251479,0,0,12000,1
1,50,1,0.162361,1,0,10334,3
0,49,0,0.256432,0,0,4741,1
0,52,0,0.014993,0,0,2000,0
0,34,0,0.248242,0,0,6400,0
1,47,1,1.813375,0,1,4500,3
0,46,0,0.292123,0,0,7667,2
1,34,0,0.95902,0,0,2000,0
1,37,0,0.005691,0,0,6500,0
0,31,0,0.004197,1,0,2620,2
1,23,0,0.02114,1,1,1560,0
0,35,1,0.202949,0,0,4000,0
0,64,0,0.004832,0,0,5587,0
0,90,0,0,0,0,,0
1,46,1,0.768675,2,1,3600,3
0,84,0,0.114952,0,0,2400,0
1,50,2,1896,0,0,,0
1,43,1,0.696328,0,0,5663,0
1,42,0,0,0,0,,2
0,39,0,911,0,0,,0
1,68,1,0.342754,0,0,7500,0
0,39,0,0.203597,0,0,9228,0
0,77,0,90,0,0,,0
1,74,0,0.68048,0,0,5501,0
1,42,1,2449,4,3,,0
1,71,0,2.022939,0,0,2571,0
1,31,1,994,0,0,,0
1,22,1,0.174377,1,1,280,0
1,49,0,0.000174,0,0,11482,0
1,44,0,54,2,0,,0
0,50,0,0.412147,0,0,4000,0
1,60,0,0.01444,0,0,3600,0
0,48,0,0.302169,0,0,16000,6
0,62,0,0.755401,0,0,6340,0
0,64,0,1962,0,1,,0
0,36,0,0.39063,0,0,20000,1
1,70,0,0.542768,0,0,4500,0
1,48,2,0.488993,0,0,11083,1
0,63,0,0.535137,0,0,3770,0
0,44,0,0.603306,0,0,3750,1
0,40,0,0.306837,0,0,8000,2
0,40,1,0.365017,0,1,5333,0
0,69,0,0.099525,0,0,8208,1
0,66,0,48,0,0,,0
0,58,1,0.648035,0,0,10000,2
0,84,0,0,0,0,0,0
0,72,0,0,0,0,2500,0
0,31,0,0.024993,1,1,3600,3
0,57,0,0.275041,0,0,11710,0
0,75,0,0.067854,0,0,2077,0
0,44,0,0.468529,0,0,2970,0
1,46,1,0.831764,4,2,2335,3
0,55,0,1768,0,0,,0
0,63,1,0.268207,0,1,7139,1
1,50,3,0.141472,0,2,3300,3
1,41,0,0.167653,0,0,1520,0
0,62,0,0.192841,0,0,5698,0
0,64,0,0.106271,0,0,10491,0
0,33,0,0.376808,0,0,8916,1
1,85,0,0.141183,0,0,5800,0
1,39,1,0.191606,0,0,5646,3
0,55,0,0.413673,0,0,11774,0
1,59,1,0.360049,0,0,10667,0
0,64,0,1307,0,0,,
0,39,0,0.131313,0,0,7820,3
1,39,2,0.1243,1,0,1785,8
0,48,0,0.033405,0,0,45800,0
1,51,0,0.170409,0,0,4230,0
0,66,0,0.052989,0,0,5000,0
1,47,0,0.220946,0,0,18275,0
0,28,1,0.109761,0,0,2550,0
0,71,0,0.002063,0,0,12600,0
1,38,1,940,0,0,,0
0,49,0,0.287802,0,0,6500,2
0,79,0,0.456469,0,0,4915,0
0,63,0,0.175215,0,0,11288,3
0,29,0,0.644395,0,0,8500,1
0,68,0,0.216757,0,1,5000,0
0,44,0,0.509322,0,0,12604,2
0,38,0,0.274227,0,0,3332,3
0,58,0,0.021663,0,0,5400,0
0,88,0,0.022481,0,0,1200,0
1,41,1,0.860609,0,0,15000,3
1,50,0,0.230292,0,0,5644,0
0,33,1,0.143104,0,0,8678,0
0,51,0,0.180993,0,0,12121,5
1,52,4,1.821306,1,1,3200,0
0,51,0,0.003671,0,0,5720,0
1,35,1,0.179071,2,1,4500,3
0,41,3,0.149471,1,1,3779,2
0,53,1,1076,0,0,,0
0,38,0,0.241353,0,0,9280,3
1,48,1,0.096814,3,0,7250,2
0,26,0,0.71011,0,0,820,0
0,35,0,0.281046,0,0,10250,2
1,52,0,0.749712,0,0,2600,1
0,61,0,0.762878,0,0,4600,1
1,73,0,0.020396,0,0,3333,0
0,40,0,0.407837,0,0,7936,0
0,82,0,0.009177,0,0,3050,0
1,80,0,0.331558,0,0,750,0
1,29,2,0.059543,1,2,1880,0
0,53,0,0.480881,0,0,14749,2
1,54,0,0.352146,0,0,1700,0
0,49,0,0.281578,0,0,5145,0
0,45,0,0.357949,0,0,7000,0
0,62,0,0.187152,0,0,9884,2
0,36,0,0.196151,0,0,1350,2
0,46,0,0.129609,0,0,8000,2
0,60,2,0.943875,0,1,11224,2
0,75,0,0.295823,0,0,13000,1
0,67,0,1915,0,0,,1
0,49,1,3995,0,0,,0
0,62,0,0.184004,0,0,3700,0
1,46,0,0.253949,0,0,5000,0
0,50,0,0.1976,0,0,10500,0
0,34,0,0.573199,0,0,1290,0
0,53,0,0.432467,0,0,5500,1
0,36,0,0.566143,0,0,10000,0
0,34,0,0.10733,0,0,4583,0
0,49,0,0.006199,0,0,5000,0
1,45,0,735,1,1,,0
1,63,1,2582,0,0,,0
1,28,0,0.267539,0,0,2750,0
0,60,2,0.328057,0,0,11308,0
0,67,0,0.238752,0,0,5000,0
0,26,0,0,0,0,900,0
1,40,1,3483,1,0,,
0,37,0,0.408994,0,0,3757,1
1,28,3,0.2,0,1,3294,0
1,23,1,0.074324,0,0,1923,0
0,59,0,0.410051,0,0,15997,1
1,29,2,0.38243,0,0,1900,1
0,75,0,0.798539,1,0,2600,0
0,58,0,2831,0,0,,
1,70,1,0.43295,3,0,12333,0
1,41,1,0.10916,3,2,5294,4
1,39,5,1.232553,1,2,5000,1
1,46,1,1806,1,0,,0
1,60,0,0.297702,1,1,1000,0
0,25,0,0,1,0,2500,0
0,57,0,0.275273,0,0,2927,0
0,53,0,0.241776,0,0,10000,2
0,72,0,1178,0,0,,0
1,41,0,259,2,2,,0
0,50,0,0.303652,0,0,3750,0
0,31,1,0.013329,0,0,3300,0
0,51,0,0.01318,0,0,6600,2
0,69,0,0.01932,0,0,1500,0
1,57,0,2945,0,0,0,0
0,47,0,0.426609,0,0,7350,0
0,44,0,0.307598,0,0,3250,3
0,52,0,0.344532,0,0,5833,0
0,51,1,0.043579,0,0,2156,0
0,48,0,1329.5,0,0,1,1
0,63,0,0.374045,0,0,23833,0
0,68,0,0.412523,0,0,3800,1
1,30,0,0.02418,1,0,4300,1
0,52,2,0.40324,0,0,15000,2
0,62,0,0.000102,0,0,9832,1
0,46,0,0.286059,1,0,8700,1
0,78,0,0.060988,0,0,5000,0
0,61,0,0.521918,0,0,7550,3
0,46,0,0.342237,0,0,7000,3
0,29,1,0,0,0,4966,0
0,28,0,0.02666,0,0,3750,0
0,76,0,0.085461,0,0,900,0
1,48,0,0.362923,0,0,4584,0
1,47,0,0.47647,0,0,11750,2
1,62,0,0.260352,0,0,2100,0
0,58,0,0.339103,0,0,7221,2
0,24,0,0.127574,0,0,1990,0
0,43,0,0.163059,0,0,9100,2
1,74,7,36,0,0,,0
0,38,0,0.210029,0,0,2432,0
0,56,0,0.104643,0,0,4500,1
0,52,2,0.496313,0,0,9763,0
0,71,0,0.563162,0,0,2833,0
0,64,0,0.1504,0,0,13370,0
0,65,0,0.238254,0,0,3000,1
1,32,0,0.27606,0,0,6110,2
0,42,0,0.242605,0,0,9533,0
1,46,2,0.122293,1,1,3000,0
0,54,0,0.222253,0,0,11000,0
0,50,2,0.238866,0,0,5500,1
1,43,0,0.19678,0,0,10000,0
0,65,0,1996.5,0,0,1,0
0,34,0,0.401247,0,0,8500,0
0,57,0,0.440569,0,0,4500,0
0,43,0,0.423453,0,0,4800,1
0,69,2,2119,0,0,,0
0,37,3,0.347938,0,0,4290,0
0,27,0,0.205224,0,0,1875,1
1,41,1,0.329169,0,2,1600,2
1,37,1,0.914642,0,0,4650,3
0,72,0,1.452987,0,0,4200,0
0,56,0,1558,0,0,,0
0,57,0,1588,0,0,,
0,45,1,0.200874,0,0,6635,2
1,67,0,0.446259,0,0,6000,1
0,44,0,0.295735,0,0,9166,2
1,52,2,0.27997,0,0,2685,3
0,36,0,362,1,1,,0
1,78,1,0.563146,0,0,3000,0
0,65,0,0.11237,0,1,10500,1
1,35,1,0.356215,0,0,3000,0
0,32,0,0.195894,0,0,11250,0
0,47,1,0.09824,1,0,4600,1
0,48,0,0.280083,0,0,8700,0
1,51,1,0.608785,0,1,8787,2
0,25,0,0.307482,0,0,1095,0
0,59,0,0.14707,0,0,17834,0
0,40,0,2291,0,0,,1
1,50,3,0.694834,0,0,5845,2
0,55,0,0.009221,0,0,9000,0
0,44,1,0.465482,1,0,6300,2
0,24,0,0.086517,0,0,3166,0
0,73,0,0.006246,0,0,1600,0
0,63,0,0.275326,0,0,1993,0
0,63,0,0.348984,0,0,5217,0
0,72,0,0.085248,0,0,4961,0
1,54,1,413,0,0,,0
0,44,0,0.187591,0,0,11700,0
0,58,0,0.039223,0,0,5200,0
1,24,1,0.227775,0,1,1900,0
1,57,0,0.473481,0,0,10595,1
1,25,0,0,0,0,,1
1,31,0,419,4,2,,
0,65,0,0.210914,0,0,11800,0
1,31,0,0.417152,0,0,1200,0
0,59,0,2263,0,0,,
0,45,0,0.723182,0,0,7000,0
0,65,0,0.094364,0,0,4630,1
0,79,0,60,0,0,,0
0,44,0,0.110263,0,0,11000,0
0,69,0,12.543714,0,0,1200,1
0,42,0,884,0,0,,0
1,33,2,0.500333,2,0,4500,3
0,61,0,0.884278,0,0,1710,0
1,53,0,0.810506,0,0,7366,2
0,27,0,964,0,0,,0
0,46,0,3966,0,0,0,2
0,41,0,0.191085,0,0,7200,0
0,56,0,0.257873,0,0,5556,0
0,38,1,0.070796,0,0,20000,1
1,47,0,0.009561,0,1,2300,0
0,81,0,0,0,0,,0
0,32,0,0,0,0,3200,0
0,89,0,9,0,0,,0
0,54,0,0.13453,0,0,6072,1
0,35,0,0.317105,0,0,3799,2
1,33,4,0.14201,2,0,5900,0
1,38,1,0.096029,1,0,7528,4
0,58,0,0.404478,0,0,11834,0
1,48,0,0.407869,1,0,2083,3
1,48,2,0.406283,1,1,2800,0
0,39,0,0.450532,0,0,4416,1
0,74,0,43,0,0,,
1,45,0,0.540205,0,0,12000,0
0,30,0,0.529287,0,0,2833,0
0,83,0,19,0,0,,0
1,71,2,0.950508,2,0,6000,0
1,81,0,0.37505,1,0,2500,0
1,44,0,0.540592,0,0,6860,0
1,42,1,0.622811,2,0,2340,1
0,36,0,0.413984,0,0,12084,4
1,56,3,0.392174,0,1,5800,0
0,53,0,0.584598,0,0,5336,0
0,52,0,0.311261,0,0,11250,0
